class, difficulty, helpfulness
BIOL597 4 4
HIST264 3 5
MATH132 3 5
SCHMGMT310 4 4
236 3 4
324 4 1
GEOG354 3 4
Transitions192T 3 5
Econ103 2 5
ANTHRO105 3 1
EDUC503 4 1
STATISTIC111 3 1
PUBHLTH389 2 4
UNIVRSTY190P 1 5
OIM240 2 5
NRC-126 4 1
FOOD-SCI561 3 5
PORT311 3 5
EDUC393B 1 5
PSYCH367 2 5
EDUC115 1 5
SCH-MGMT310 2 3
Anthro-100 3 3
CICS108 3 5
COMMDIS415 3 3
THEATRE140 1 5
TH130 2 5
LING201 3 3
Art104 3 5
COMP-LIT131 2 5
PSYCH-350 5 3
MKT 3 5
MUSIC-100 2 5
503 5 2
Math534H 3 1
N317 2 5
Dance-241 5 2
391 1 5
SOCIOL213 3 5
632 3 2
STOCKSCH108 4 4
151 3 5
ACCOUNTNG233 4 3
MATH104 2 5
MATH127 2 5
380 3 5
MATH128 4 2
HTM100 2 5
104 3 2
201H 4 3
CLAS224 1 5
100 4 1
POLISCI101 3 4
BIO152 4 2
BIO151 2 5
BIO151 2 5
PSYCH241 3 4
RESEC212 4 5
LING101 3 4
SCHMGMT632 2 5
BIO423 4 5
ECE211 4 5
GEO102 1 5
121H 2 1
BIO100 5 1
394AI 3 5
PSYC240 2 5
100GER 4 5
CHEM262 4 3
MUSIC566 3 5
EDUC301 1 4
KIN224 4 2
BIOCHEM285 4 3
FECO001 2 5
OIM210 2 3
FP191H 1 5
SOCIOLOGY106 2 5
MATH331 1 5
PSYCH335 5 1
252 3 5
SCHMG310 3 4
MGMT680 5 2
MUSIC102 4 1
COMM121 1 5
PHYS100 2 4
PHIL110 5 1
SOC105 3 2
ANTHRO150 1 5
MICBIO330 5 1
COMPLIT122 1 5
POL101 3 2
MATH331 3 2
ENG200 5 1
COMM497M 2 5
CS290M 3 5
M408K 4 1
HIS269 1 5
HIST389 2 4
HIST283 1 1
LIN414 4 4
HIS110 5 1
KIN270 3 3
LIVELYARTS 3 5
JUD376 1 5
BIO103 4 1
COM301 3 3
PHYS131 4 1
MKTG425 1 5
PUBHEALTH203 2 4
MIC304 2 5
REECO102 2 4
110H 1 5
MATH113 3 5
SCHMGMT200 2 5
BIO105 2 5
ACCT483 3 5
CLASSICS100 4 3
PSYCH335 4 4
COMM284 2 5
MICROBIO160 4 5
SOC242 3 4
ENG272 4 3
ECON104 3 1
OIM420 3 5
TH361 3 4
GEO103 3 3
GRK100Y 3 4
JOURN201 2 2
SOC302 1 5
OIM452 3 5
ECON204 4 2
POLISCI273 3 5
ECE244 3 5
JOURNAL201 3 5
ECON311 5 5
ACCT221 3 5
SOC103 1 5
CLASSICS335 2 5
OIM301 3 5
ECE323 5 1
CS220 4 3
HIST592 3 3
BIO564 4 5
HIST151 1 5
JAP140 3 2
311 4 5
MTH356 3 4
ASTRO100 3 5
BIOL297 1 5
HIST331 4 1
ECE213 4 4
STAT515 4 3
LING413 3 4
SOCY-358 3 1
SCH200 1 5
SPORT210 1 1
RESECON121 3 3
LEGAL250 3 5
MATH235 3 5
LANDARCH297 4 4
230 3 5
NUTRITION130H 2 5
CHE110 2 5
MIE124 4 3
ENG200 2 2
EDU229 3 1
HON201 4 5
MUSIC150 1 5
HUMDEV270 1 2
MATH411 4 5
CHEM111 3 2
JUDAIC365 3 5
MATH490A 5 2
SCHMGT680 3 1
MGT260 2 5
PUBHEALTH150 2 5
112H 2 5
ARCH211 3 1
MGMT310 3 5
SCHMGMT670 3 5
COMDI520 1 1
CHINESEDIASP1 3 5
ARAB126 4 1
MIE510 5 1
HTM433 1 5
ENG491Z 5 1
MATH331 4 4
EDUC293 3 5
MATH475 3 3
PUBHLTH129 4 5
PHY181 2 5
ENVST150PH 1 5
KIN355 2 5
BIO312H 3 5
BIO335 3 5
CS514 3 5
JOURN301 3 1
WGSS293 3 4
MICRO320 5 2
JOURN-460 3 5
MIE570 5 1
CHE401 5 1
EDUC7XX 4 1
CONST1 4 5
POLI380 3 5
COMPSCI560 2 2
MATH233 4 5
STAT240 5 1
ECON103 3 4
MAN260 4 3
CS453 2 5
ENG221 2 5
MATH233 2 5
ECON309 2 4
MIE201 3 3
STA515 4 3
MUS103 5 1
AUD642 3 3
ITAL280 3 5
UWW191G 4 5
SPAN311 4 1
CEE320 5 5
JPN326 2 5
JAPAN144 3 1
SOCIOLOGY106 5 1
AFRAM234 1 2
118 1 5
KIN236 3 2
MATH545 4 4
MIE210 5 1
OIM411 3 5
ANTHRO101 2 5
SPANISH110 3 2
POLITICIAN-JOUR 5 2
CHIN136 1 3
ASTRON100 3 5
Physics-152 1 5
FIN305 1 5
311 4 2
PHYSICS152 3 3
FR110 3 5
ANTHRO105 1 1
SOC212 1 5
MUSIC566 1 5
JOURNAL201 2 5
391CL 3 5
MKTG4020 3 5
ECN111 3 3
EDU210 4 5
CSC262 4 1
HIST116 3 5
BME230 3 5
EDUC494RI 1 5
NURS100 5 1
POLI181 2 5
POLISCI394LI 5 5
ENG362 3 5
MIE573 5 1
PUBHL150 1 2
MATH141 3 5
GEOSC103 2 4
PHIL401 2 5
WGSS230 2 5
ANTH397 3 5
ART275 4 3
CS110 2 3
BME275 5 2
CHEM-111 2 4
PHIL110 4 1
PHIL341 2 2
ECE547 1 2
SPA582 4 5
NUR210 1 5
ANTHRO481 3 1
FDSCI575 5 1
MATH425 5 1
JPN110 2 5
AniSci285 2 5
SPNSH120 3 4
SPRT323 4 5
ANTH105 3 4
FOODSCI270 1 4
MATH300 1 5
CS328 2 4
FOODSCI102 2 5
PHY568 4 5
CLASSICS100H 4 5
POLSC203 3 5
MATH551 3 5
MGMT310 3 5
BIO548 2 4
HIST180 5 4
HIST151 4 4
ENG210 1 1
HONOR391 3 5
PHIL201 2 5
Soc103 3 1
ENGLWRIT112 2 5
KIN245 1 3
MIE375 2 5
MIDEAST220 5 1
SOM640FINAN 4 5
SOC222 3 5
ECE241 5 2
STATS297F 3 2
UWW340 3 5
POLISCI395E 2 5
CHEM315 3 3
EDUC205 4 1
ENG112 2 5
LING401 2 4
SOC321 2 4
PSYCH330 2 4
HTM260 1 5
PHOTOJOURNALISM 3 5
GEO101 4 1
UNIVERSITY197J 2 4
MATH563H 4 5
ENG254 2 4
GEO102 1 1
res-econ102 2 5
MATH152 2 3
MARKETNG301 2 5
CS589 3 5
JOURN201 3 5
STATS515 3 5
CEE121 2 3
EE546 2 4
CHE120 3 2
SPAN397 1 5
MIE211 4 5
ECE214 4 1
SOC303 3 5
MATH233 1 5
WGSS201 3 5
MUS130 3 5
PHIL160 3 3
PS271 3 5
SOC101 2 3
KIN236 3 2
LING510 2 5
LA591 3 5
MUS101 5 5
POLS105 4 5
SCH507 3 5
COMPLIT131 2 5
PHYS181 1 5
CS520 3 1
KIN270 2 3
MGMT260 3 4
KIN100 4 1
SRVCLRNG192 4 5
eng112 3 5
ANT271 3 3
MATH421 5 5
ANT252 4 5
CLASSICS224 3 1
ALLALL 1 1
NURS640 3 5
PSYCH307 1 3
DANCE197A 2 5
FRENC303 5 1
PHIL336 3 3
ECE645 5 1
CW112 1 5
331 2 5
494IE 4 3
CHEM551 4 5
ECON365 3 4
MUSIC551 5 5
CICS305 4 5
FFYS191WG4 2 3
FIN304 2 5
CS685 3 5
EDUC463 1 5
ChE338 2 5
PSY142 5 2
CS660 3 2
BIO288 4 5
ANTHRO397BP 2 5
FOODSCI150 1 5
GEO110 2 4
ENGL115 2 5
BCT492 3 1
IDCE319 1 5
HUMANGEO 2 5
SPAN230 2 5
BIO397MH 3 5
ENG399 3 5
SPAN110 3 5
CBE250 5 2
CS325 3 1
ECO101 2 5
BI242 5 1
SWEDISH110 3 4
RESEC212 2 5
EDUC463 2 4
ENG221 2 5
CS250 3 5
BCT520 5 1
MARKETNG412 2 5
348 4 3
COMM297 1 5
PHYS422 3 5
GERM120 3 1
JOURN494MI 3 5
COMM375 5 1
MGT797 4 5
EDUC101 2 3
COMDIS100 2 4
SOC106 3 5
COMP101 3 4
PLAN 3 5
ENG298H 1 5
LINGUIST201H 3 5
JRNL1150 1 5
PSYCH315 2 5
SOC212TA 3 1
SOC340 2 5
PHYSIC115 2 1
CW12 1 5
SPORTMGT210 3 5
PUBHLTH323 5 5
ENG112H 5 5
587 2 3
EDUC325 4 1
COMM226 3 5
LA294A 3 1
PHIL166 3 4
PUBHLTH497E 3 5
MGT689 3 2
ENGIN351 5 1
STOCKSCH297AL 2 5
STAT525 3 5
MIE313 5 1
HONORS391AH 1 4
ENVSCI315 1 4
COMPLIT133 1 5
SCI150 1 5
ANTH105 1 5
PSYCH391AF 3 5
PHIL170 3 1
LING320 5 2
NUT130 1 4
STS71544 3 5
ENG112 3 5
SOC110 1 5
SPORTMGT693 5 5
HIST131 2 4
COMPLIT121 3 2
ENG112 3 4
MATH235 5 4
MGMT650 2 4
CHEM291A 3 2
HONORS391D 2 4
POLISCI305 4 3
KIN470 4 1
ENGLI132 2 5
ENG351 3 2
COMPLIT236 3 4
ARTPAIN 3 4
SPAN311 2 5
COMMDIS312 3 3
MGT494BI 3 1
ENGLWRIT112 1 5
PUBHLTH323 3 5
PHIL164H 2 5
NRC597LP 3 5
ENG319 3 5
WGSS291E 3 5
LEGAL352 2 5
GEO697K 5 1
CS575 3 5
MATH233 4 5
COMPLIT231 5 1
POLISCI121 2 5
COMPLIT231 4 5
CPLIT121 2 5
ANTHRO209 2 5
ORGANIZBEHAVOIR 4 5
CSC262 3 1
CICS256 3 4
423 1 5
ENG115 3 5
ANTHRO269 2 5
CICS110 3 5
APUSGOVT 3 4
ECON366 2 5
MATH235 4 5
MK331 2 5
PHIL170 3 5
ACC222 2 5
MATH132 5 5
OIM240 3 5
KIN460 3 5
EDU210 5 1
PSYCH350H 3 5
FIN402 3 5
CHINE120 3 4
TH140 1 5
THEORY249 2 5
POLISCI362 5 2
SPAN240 2 5
PHILO164 3 4
MGMT330 1 5
CLT100 3 1
ACCT423 3 4
PHYSI131 1 4
PUBHLTH460 4 4
PUBHLTH360 2 4
HIST2105 4 5
BIO288 5 2
ENGWRIT112 2 5
GEOL431 2 5
IGS200 4 5
ENGLWRIT112 3 5
RESEC397A 3 4
FOODSCI575 4 4
RESECON121 5 1
ARCH300 4 5
SOC204 3 4
STATS525 1 4
MATH131 3 5
GEOSCI100 5 1
SPAN230 2 5
CS596E 3 5
RESECON213 5 1
RESECON121 2 4
HT-MGT250 2 5
BME320 5 4
HNRS291A 2 2
SPAN01 2 5
SPAN240 3 5
MARK468 3 2
ENGR111 5 1
ENG131 1 2
MGMT330 2 5
COGNITIVEPSYCH 5 3
BIO542 3 4
ENGL112 2 5
SPANISH350 2 4
ENG112 1 5
MATH131 3 5
MATH233H 5 3
NUT230 3 4
MATH233 3 5
CHEM250ORGO 1 3
EDUC377 2 5
PHI135 1 5
SOCIO103 2 4
CMPLIT121 1 5
EDUC325 3 1
AFRO170 2 5
HIST325 4 1
ORGO232 5 1
ECON105 1 5
ECE344 5 4
PHIL164 2 5
SOC395 3 4
BIO475 3 3
MATH132 3 4
180N 2 5
MKTG31200 3 3
PHYSICS181 5 1
ANTHRO150 4 5
MIE353 2 4
HONORS391AH 1 5
ECON150 3 2
OIM240 2 4
ART384 3 4
ANTH1110 1 5
GERMAN240 3 5
POL197A 1 1
COMM375 2 4
ENGLWRIT112 3 3
ENG131 3 4
NATSCI494I 1 3
EC452 5 5
LEGAL340 1 2
NRC212 1 5
MIE310 4 1
ENGLWRIT112 2 4
CEE577 2 5
ChE589 3 5
ChE325 2 4
110 2 5
ENG112 2 5
Judaic-101 3 2
ANTH102 3 5
EDUC592L 1 1
ENG112 1 5
COMMD1 1 5
PSYCH480 4 5
ENG354 2 5
SOM797R 3 5
COMM118 3 5
MATH131 4 5
SUSTCOMM140 3 3
MATH131 3 2
LING3410Q 4 2
HTM260 3 3
PHIL160 2 5
SOC223 5 1
BA237 4 5
KIN16445 3 4
SOC297E 3 5
FR120 3 5
COMM260 3 5
LINGUIST201 2 4
PH324 4 2
ENG112 2 4
ART318 4 2
SPORT337 2 5
120 5 1
EDUC368 1 5
COMM250 3 3
MATH128 1 5
FINOP353 3 1
MATH331 2 4
SCHMGMT494BI 3 5
CL121 3 4
PUBHT324 3 3
CW112 1 3
UWW370 3 5
MATH331 5 1
COMPSCI240 3 3
SPORTMGT321 3 2
Stats526 2 2
CEE433 5 3
PHY811 5 1
UWW340 5 1
LEGAL39LS 3 5
ENGLWRIT112 2 5
PUBHLTH389 3 3
ENG131 5 3
ENG112 1 1
394I 4 5
ACCOUNTG222 3 5
ANSCI251 1 5
CS645 4 1
PUBHLTH390CE 4 5
COMMDIS213 2 4
364 4 5
MUSIC100 3 2
STOCK581 2 5
COMPSCI121 2 5
Phil355 2 5
MATH411 2 5
PUBHLTH-333 3 5
ENG269 3 5
Classics103 3 5
ENGLWRIT112 2 5
Kin460 4 3
122H 3 5
NRC261 3 2
WELLNESS103 2 4
EDUC191 1 5
schmgmt601 3 5
201 3 5
MGMT650 4 5
HISTORY275 4 5
BIOL544 4 5
HIS110 2 4
PSIS102 1 5
PHYS153 3 5
PORT110 3 5
FRENCHST110 2 4
PUBHLTH324 3 5
ECON103 1 5
EDUC191 3 4
KIN460 4 3
EDU425 3 1
FOODSCI150 2 5
ENGLWRIT112 1 4
HTM346 2 1
ENGLISH131 4 1
297D 3 3
STAT516 5 2
HPP690 4 5
HUMDEV270 2 5
JOUR391 3 5
EDU167 1 5
ENGIN191 2 3
ECON308 2 5
CEE310 3 5
ECON452 2 5
FRENC110 3 2
ANSCI459 1 1
ARABIC101 3 5
EDUC305 3 1
BHS123 5 4
PUBHL750 4 2
PH320 2 5
PHIL321 2 5
PS297W 3 3
PUBHL320 1 4
AFROAM133 3 2
SCHMGMT743 3 5
WRIT112 3 2
MUSIC565 5 1
OIM301 2 5
SUSTCOMM394RI 3 5
PSYCH100 4 1
PSYCH392A 5 2
LATIN230 4 5
AFRST108 4 1
MUS213 4 4
WRIT000 2 5
CEE310 1 5
392C 3 5
HIS170 1 4
BIOCH383 2 4
112H 3 5
EDU210 1 1
LING201 4 1
MKT497T 4 3
COMM125 2 5
COMP212 1 1
KIN247 5 1
ENG112 3 4
MUS102 1 2
58451-01 2 5
ADRAP 2 5
CS585 3 5
BIOL312 4 5
UWW360 3 5
MIE460 3 3
MGMT640 4 2
UWW370 2 5
ENGLWRIT112 2 5
EDU191 2 5
ART501 5 2
German110 1 5
COMPSCI121 4 4
ANSCI365 3 5
GERMAN110 3 5
Art280 3 5
Math235 2 5
GEOGRAPH352 2 4
PSYC201 3 5
PORTUG110 2 3
LING201 3 5
HTM387 2 5
OIM240 3 3
697DM 1 1
112 2 5
HISTORY241 5 1
CS690F 1 2
ChE330 5 4
MATH131 4 1
MIE664 2 4
MIE670 3 5
POLISCI377 4 2
Comm-dis212 2 5
ART110 2 5
SPANISH110 3 3
Bio-105H 3 3
PSYCH337 5 1
collaboration 4 5
391AH 4 2
FIN304 3 5
FYS-191 2 4
BME497B 4 5
WGSS187 1 5
BIO564 5 3
ART374 3 1
PUBHLTH323 4 4
COMM331 2 5
Sociol328 2 5
ANTHRO102 2 1
SPA240 3 3
HPP704 4 1
Education101 1 4
ENG391C 2 1
ENVISCI575 5 2
DACSS-585 1 1
legal275 3 1
311 3 3
STAT240 3 5
COMM289 3 5
101 2 5
MATH127 5 4
CHEM103 5 1
PHY131 3 4
CMPSCI119 5 5
ECON104 4 4
PSY365 3 2
CLA224 3 5
ACC233 1 5
PUBHLTH301 2 5
CHEM111 2 5
CS250 5 4
STAT140 2 3
321 4 5
POLISCI111 3 1
CHEEM111 3 1
PSY100 2 2
COMM248 1 5
NUTR130 4 3
PSY1100 3 4
100 5 1
CALC132 4 5
COMPSCI426 3 5
PSY380 3 1
SOC 3 1
ACCOUNTING 3 1
MICRO140P 1 5
ECON104 3 2
SOC222 2 5
RESECON212 5 1
ANTHR150 1 5
CALC127 3 2
COMM118 3 5
ECON104 3 5
MATH411 4 5
ANSCI101 2 5
PSYCH241 3 4
COMM445 4 1
CHEM122H 5 1
SOC110 1 3
491SM 5 5
JAPANESE135 3 3
HIST115 3 1
STOCK172 1 5
JUDAIC102 3 3
ENVISCI101 2 5
COMM118 4 4
PSYCH391E 3 5
LING101 2 5
FIN640 3 1
HIST161 2 4
ART420 4 5
COMLIT234 4 1
RESECON263 4 4
COMDIS100 1 5
MIE273 2 5
POLISCI318 2 3
DEAN 2 4
ENG200 3 4
ANTH297L 2 5
PSYCH355 2 5
FILM-ST357 2 1
SUSTCOMM140 2 4
KIN100 2 4
BIOCHEM420 4 3
SOC242 3 5
STOCK121 2 3
BIO105 4 1
RESECON213 2 4
MATH534H 3 5
CICS160 2 5
COMM125 1 5
ACC221 3 5
MICROBIO160 3 3
HIST373 2 4
ENGW1111 1 3
UWW370 1 5
COMDIS311 4 1
PUBHLTH494CI 2 5
MIE201 4 5
SCHMGMT523 3 5
CHE132 2 3
MARK301 2 5
BIOL572 4 5
ANIMLSCI220 4 5
BIOCHEM430H 5 2
ENG131H 2 4
FINANCE 4 1
PHYS121 4 5
POLISCI253H 3 1
ECE122 5 1
SCHMGMT310 3 1
PSYCH240H 3 5
COMM426 2 5
BIO497AM 3 5
SOCIOLOGY110 3 4
CHEM262 2 5
CHEM315 5 1
AHIST100 4 2
LINGUIST305 3 3
SOC420 3 5
SOC346 4 2
SOC341 3 5
JOURN445 5 2
HIS180 3 4
MATH113 1 5
HIST52 2 4
MATH331 3 5
ENG200 1 5
PHIL371 4 1
CRIMLAW1 5 1
ENG201 2 5
MGMT343 2 5
HTM334 2 5
ECON204 5 5
BIOCH100 2 1
MATH131 2 4
MATH235 4 3
FRENCH248 2 2
ENG494PI 1 1
LING101 2 4
ACCT222 4 1
ACC221 3 4
MIE210340 3 2
ANTHRO394 4 3
MATH233 4 5
PLSOI326 3 4
SOC283 1 5
STAT515 4 3
MUSIC103 5 1
ANTHR320 4 5
ECON103 1 3
COMPSCI121 4 2
ACC322 2 5
HUMANDEV270 2 4
JOURN225 1 4
MGMT330 1 5
CLASSICS490 3 5
FRENCH473 5 5
ECON410 3 4
AFRAM132 2 4
BIO152 3 1
SPAN417 4 3
MUS112 1 5
HONORS201H 3 5
RESECON220 3 4
CMPSCI630 4 5
FIN509 4 5
CHEM112 3 1
ANSCI260 1 5
COMDIS213 3 4
CHIN110 3 5
HONORS201H 4 5
MUS115 5 2
390EH 3 5
MUS 1 5
MIE344 4 2
BIO101 5 1
COMPSCI240 4 4
MATH605 4 5
PHYSICS281 3 1
MATH132 5 1
CS589 3 2
CHEM267 2 5
TH360 4 2
308H 3 5
ANTHR104 1 4
PSYCH360H 5 2
POLISCI171 3 4
ANTHRO103 2 4
PHYSICS152 3 3
AFRAM236 4 1
PSYCH391 5 2
STAT525 5 1
EDUC276 3 1
ACCT221 3 5
IDEAS 2 5
CLOWN1 2 5
SOC103 1 4
SCHMGMT333 3 4
ITAL230 3 5
NATSCI387 4 4
STAT240 5 1
anthro281 3 4
FR303 4 1
ANIMLSCI105 3 1
PSYCH305 3 5
ANTHRO205 1 4
MATH131 3 5
PHYS181 3 5
LEGAL353 4 4
ENG112 2 4
MATH132 2 5
SCHMGMT640 3 4
CS240 4 1
WOST187 4 4
MUS100 3 5
MATH203 4 1
NUT210 4 5
TH342 3 5
COMPLIT391B 4 1
SPAN110 2 5
LEGAL250 4 5
ENG132 3 4
ACCT331 4 1
INTI 2 2
THEATER364 3 5
ENG200 3 5
phil163 5 1
THEAT342 2 5
SOCIO242 1 5
PHIL100H 5 1
JOURN397 3 2
CHEM102 1 4
ITAL126 2 5
FRENCH240 3 4
CLASSICS100 3 3
MIE310 3 5
LING411 1 5
STOCKSCH315 2 4
MATH132 2 5
OIM452 3 1
SOC281 1 1
LOVEWORK293A 3 5
COMM394RI 4 4
GEO110 3 5
CS220 2 5
COMM397 5 2
SCI401 4 3
ANTH269 1 5
ECE210 4 4
130 1 4
FIN422 5 5
CEE250 3 5
EDUC375 3 5
SOC328 1 4
GEO109 5 1
ENG204 2 5
KIN247 3 4
ASTRONOMY100 3 5
HYGFO466 1 4
SPANISH101 5 1
MGMT314 4 5
PH214 2 5
ital328 2 5
ENG101 1 5
301 4 2
CS383 5 5
MIE413 5 2
ENGLWRIT112H 2 1
MIE344 5 1
ENGLWRIT112H 1 5
CS311 4 2
GEOSCI101 4 5
HONORS391A28 2 3
AFRAM254 4 5
SOM494B 2 5
ENGL379 3 2
ENGL112 3 3
RESECON212 3 3
ECE558 5 5
PSYCH380 2 5
ARABIC101 2 5
EDUC101 4 1
LIT382 5 1
CHEM552 3 5
WGSS201 3 5
PHYSICS181 2 5
397N 4 5
ENG112 4 5
BIO283 2 5
ACT221 4 3
NRC572 4 4
MICRO330 4 5
Music100 1 5
ENGLWRIT112 4 5
MIE313 4 4
SPAN101 2 4
ENGLWRIT112 2 5
POLISCI111 2 5
EDUC565 3 1
GEO497N 3 5
CEE270 3 4
PS110 4 5
MANG300 5 1
JOUR101 1 1
MGNT640 2 2
ESS210 5 1
POLISCI181 1 5
ST516 4 1
EDU225 2 3
ART223 4 5
ENG102 2 5
STOCKSCH320 3 5
PSYCH330H 3 4
STEPC101 2 5
MATH132 3 3
CHIN597 3 4
MGMT640 4 5
BIO312 3 1
SPAN321 3 5
FIN3716 4 1
ECE-210 5 1
SOC103 2 4
MATH101 2 5
ENG386 3 4
MUSIC110 4 5
191HON2 2 5
LING412 1 5
SOC106 3 4
HONOR291A 1 1
PHIL164 3 1
ANTHRO100 2 3
EDUCEDUC 1 5
DANCE301 3 5
CICS305 2 5
SPP320 2 5
POLISCI309 3 5
CEE240 2 4
SOC106 4 2
STAT516 3 5
MGMT680 3 1
CICS110 2 5
AnSci253 3 5
POLISCI377 2 5
ITAL350 3 5
EDUC325 1 5
ENGLWRIT112 2 3
BIOCH523 3 3
PSY335 3 5
ENG101 2 5
ENGWRIT112 2 5
JOYCESECT 4 5
ENG112 2 5
CALC131 4 5
MUSIC110 3 1
MATH233 2 5
PLSOI126 1 5
ECE323 3 3
PUBHLTH302 3 5
ANTHR397J 1 3
ANTH105 2 5
NU572 4 2
VOICE 5 5
MGMT494BI 2 1
ENG132 3 5
MRKT301 3 1
NRC565 2 4
MUSIC117 4 3
POLT387 4 4
PSYCH241 2 1
BIOCHEM424 4 5
UWW310 4 5
MATH235 5 1
ECON105 3 1
PHYS424 4 5
Stocksch108 2 5
CHEM315 1 5
SPHHS150 2 4
EnglWrit112 3 5
BIO335 2 2
COMPLIT141 5 4
EDUC590 2 5
MGMT697 3 3
ENG150 3 5
GEO105 2 4
ENGLISH132 2 5
AfroAm156 1 5
CHIN326 1 5
WRITING112 4 5
MATH140N51 1 5
HIS3563 4 2
MATH233 3 3
191HFA27 1 5
BIOCHEM523 4 4
PHIL500 1 5
EDU210 1 5
285GER 1 5
GEOSC02 5 3
PHYSICS421 4 4
HIST426 1 4
HIST101 5 2
ENGWR112 2 5
BIO152 4 1
HIST100 5 1
PUBHLTH223 3 1
494BI 1 1
PHYS114 4 2
ENGLISH112 1 5
MGMT260 4 3
ENVIRSCI214 3 5
390L 5 5
MIE597MP 4 5
ANSCI572 3 5
ECE231 1 5
MIE344 4 5
SOC220 4 5
MIE290H 4 5
UWW330 3 4
PUBHLTH397A 1 5
SOCIOL110 1 5
WGSS295 3 5
PHIL383 3 3
PUBHLTH323 3 5
COMP121 1 1
EDUC113 1 5
ITAL110 1 5
FR120 1 5
SPAN240 4 5
REGIOPL625 4 4
CS320 5 1
SOC103 3 4
NRC382 1 3
ENG112 2 5
ENGLW112H 2 5
RESEC211 4 1
FOODSCI120 1 5
CMPLT231 1 2
ENVI112 3 5
LINGUIST201 1 5
UWW310 4 5
ECO602 4 1
OIM240 2 5
STAT515 3 4
ASTRO339 2 5
494BI 3 1
MATH456 3 4
Math456 3 5
STAT515 5 5
ENGL132 3 5
NUT230 4 2
MATH132 3 5
MATH-233 4 1
RUSSIAN110 3 5
SOM497 1 5
ENGLWRIT112 3 4
WGSS286 2 5
CS611 4 5
202 5 1
EOS110 2 4
CS345 4 1
NURSING 2 5
PHY152 4 5
DEVIANCE300 1 5
112H 3 4
MSIS656IT456 3 1
STAT607608 5 5
PHY131 2 5
GERMA110 2 5
FINFOMG 5 5
GERMA120 1 5
PSYCH392 3 5
HONORS191FPH 1 5
ASM3300 4 4
PHIL105 3 5
PHY152 2 5
397W 4 3
ART040 3 2
SPAN312 4 2
PSYCH330 2 5
PH214 2 5
MGMT494B 4 1
PHYSIC214 2 5
210 2 2
ENGIN112 3 3
ART196 3 5
COMPLIT141 3 4
MCB642 4 5
BWRIT134 2 5
ENGLISH131 2 5
CS345 5 1
A541 4 5
ENVIRSCI445 2 1
COMPSCI446 2 5
SOC242 3 5
ART142 5 1
EC252 3 5
ENGLWRIT112 2 5
CEE357 4 3
PHIL163 3 5
CS528 3 5
ENGLISH131 2 4
ENGLWRIT112 1 5
SCHMGMT704 3 5
ENGL2010 4 5
492B 4 2
RESECON102 2 5
AH115 4 2
NURS332 4 5
THEATER140 3 5
SPANISH311 2 5
COMPSCI197WP 1 5
ENGLWRT112 2 5
AFROAM345 2 5
EDU325 2 5
ENGLISH268 3 4
PHIL336 1 5
RESEC202 2 3
ANTHRO205 1 2
EDUC115 1 5
COMPPOLI 3 4
MGMT260 3 4
CHEM891G 5 1
PUBHLTH390TL 4 5
WRITING112 3 4
KIN110H 2 5
ANTHRO360 2 2
SPCH11 3 3
FOODSCI150 5 1
CS590X 2 2
ENGWRT104 5 2
CICS305 3 2
104 3 5
ENG132 5 1
210 3 1
KIN270 1 5
LING201 3 2
COMP-LIT133 1 5
CEE310 2 2
ENGWRIT112 1 5
THEA130H 1 5
German110 2 5
ECE322 3 5
Complit131 5 1
AFROAM170 2 5
MUSIC566 3 4
314 1 3
395F 1 5
ARCH540 3 5
HIS265 3 3
FRENCH401 4 1
ECON394 1 5
HTM260 2 5
PSYCH-155 2 5
FRENCH350 2 4
BIOCHEM424 5 1
POLISCI111 2 5
ANTHRO270 2 3
CompLit122 4 1
ENG-140 2 5
ENG341 3 5
ACCT331 3 5
EDUC772 3 4
ENGLWRIT112 4 5
MKTG465 5 2
STOCKSCH186 2 5
ENG142 2 5
ENG142 3 5
524 3 4
educ329 3 5
LING390A 4 3
PHYS423 2 5
LATIN110 3 2
CHEM341 3 2
POLSCI101 4 5
PH224 3 1
EDU325 3 5
SSSS 3 5
GER120 2 5
390AS 2 5
LATIN120 3 5
PUBHLTH397BH 3 4
NRC585 4 5
UWW310 2 3
RESEC313 3 5
POLISCI308 3 5
ENGLWRIT112 3 5
SPAN110 2 5
FINANCE301 2 5
FIN405 4 1
COMM140 2 5
MATH132DISC 4 3
HTM240 1 5
MUSIC110 4 3
PHIL100 4 5
MUS69 1 5
CLASSHEB1 2 1
MATH131C 4 3
ECON204 3 5
ABA 3 5
CEE241 3 5
ACCO223 2 2
MATH132 5 4
BIOCHEM524 5 1
PHYS424 4 3
ENG112 4 4
KIN470 4 5
ACC221H 2 5
NRC297 3 3
NATSCI191 5 1
JWST060 2 3
268 3 5
85107 3 1
MKT412 3 1
spp111 3 5
149544 2 5
240 1 5
499E 3 5
MANAGMNT330 3 5
FFYS191TEF3 1 5
SOCIAL344 2 5
SCHMGMT310 5 1
BIO372 1 1
LING401 3 5
PUBHLTH390EE 2 5
THEATHER190J 3 5
ANIMLSCI-521 5 5
PUBHLTH335 2 4
FARMMANAGEMENT 5 5
HISTORY225H 2 5
DANCE272 3 2
HIST394PI 2 5
MATH131DISC 4 4
ENG-123 3 3
PSYCH100 2 3
BIOCHEM276 3 5
GERMAN110 3 1
ARTSEXT500 3 4
314 3 5
STATS-516 2 5
212 3 5
CHEMENG320 5 5
ART104 5 3
