class, difficulty, helpfulness
GERMAN363 3 2
HIST101 5 3
ENGLISH-200 1 5
PHY151 4 2
MGMT200 3 5
ECON105 3 2
ART147 1 5
ACC 221 4 5
LIN232 5 2
LING510 4 5
ENGL1111 1 5
CMPS1010 5 2
ART120 4 5
MGT330 2 4
LING150 4 1
MUS2010 5 1
ECON103 4 3
ANTRHO150 1 5
MICRO202 5 4
LIT117 1 4
LEGAL297 3 5
ENGL1100 3 1
PHIL164 5 1
MUSIC217 1 5
phil164 2 5
BIO105 2 4
AFROAM132 2 4
complit233 2 5
CHEM341 1 1
CS490A 4 1
PHYSICS287 3 2
ENGLWRIT112 1 5
PUBHL565 5 1
MGMT783 4 5
PSYCH391G 3 5
SWENGINEERING 1 4
HUMDEV270 2 3
46468 3 5
ENG118 2 5
EDUC693T 3 5
ENG119 3 5
WRI127 3 1
NUTR201 1 5
PHIL164 4 4
GEO110 4 2
MATH233 5 1
MGMT660 4 1
CHEM114 4 4
201H 1 5
VOCAL20 5 5
CEE331 2 5
PHIL164 2 4
ENG131 4 4
ENGLWRIT112 4 4
FOR197A 4 3
ENG118 4 4
ENGW112 3 5
LEGAL250 3 2
ENG112H 4 1
SOC213 2 5
ECON310 4 2
FIN405 3 4
FOR305 3 5
KIN272 4 1
MGT330 4 5
STAT525 3 5
CS683 4 3
ENG131 1 5
PSYCH535 3 5
596E 3 5
SCHMGMT200 2 4
BIO564 4 5
CS377 3 5
PHIL175 2 3
ANTHRO104 4 3
394PIH 3 5
MGMT301 3 5
PHYSICS151 4 1
CS589 3 2
MATH170 3 5
397C 4 1
BIOL479 1 4
WGSS286 3 4
TH140 2 2
EDUCATION210 1 5
STOCKSCH290W 3 2
COMPLIT397G 2 5
NU316 2 5
NUR735 2 1
GN3511 1 5
JOURN300 4 5
SOC106 5 3
BIOCHEM526 3 5
HTMGT260 4 2
SCHMGMT582 3 5
CW112 2 5
CHEM111 3 2
MATH235 2 5
MATH331 3 5
POLISCI111 3 5
BME330 4 5
485 2 5
OIM-350 3 5
ENGLWR112 2 4
MIE379 3 5
PUBHLTH129 3 5
BME505 4 2
SO101 3 3
ARCH211 1 3
RUSSIAN110 3 5
ECON306 2 5
Phil-101 2 5
HONORS260H 3 2
ECON341H 3 5
DMC2071 5 3
ENG101 4 5
ECE124 3 3
ENG354 4 5
FRENCH120 2 5
MIE440 4 5
SPAN397 1 5
HIST101 4 5
SPAN110 1 5
LA547 1 1
RESECON121 3 2
PHIL336 3 5
SOC106 1 2
CLA224 4 4
PIANO101 4 5
SPAN120 3 5
ENG254 1 5
ENGLWRIT112 3 3
UWW350 4 4
697FA 2 5
PHIL163 2 5
MIE380 4 5
SPAN110 2 5
THEATER140 2 5
FINANCE301 4 5
ECON205 4 5
SustComm574 2 3
Classics329 1 4
CEE250 3 4
PH494CI 5 5
ACC441 4 5
PHIL164 2 5
384 4 5
SCH-MGMT260 3 5
FIN304 3 1
123EDFGT654 1 5
BIO312 2 4
HON391AH 2 5
EUST122 3 5
MGMT448 1 5
GEOSCI426626 3 3
MUSIC563 2 5
ECON104 3 5
SCHMGMT494BI 2 4
FDSCI265 2 5
JOURN397R01 2 5
491B 3 3
COMM250 2 5
ARCH400 3 3
NUR333 3 5
ENG112 1 2
FRENCHST230 4 5
ENG102 3 5
ECE323 5 1
GER365 3 5
PH390 4 1
CS120 3 3
EDUC611 3 1
LING201 2 4
COMDIS315 4 5
PYSCH380 3 1
SPANISH110 4 5
ECON313 1 5
HONOR391D 4 1
MATH132 4 1
HIST150 4 5
WRITI112 2 4
LIN201 3 1
STPEC393 3 4
MKT434 4 5
ENG112 2 5
ENGW112 3 5
FRENCHST230 3 4
STAT516 5 1
POSC5100 5 1
LANDARCH582 3 5
MUSIC160 1 3
ENGLWRIT112 3 1
ENGLISH254 1 5
ECON204 3 5
Phil336 2 5
EDU167 1 5
PHIL163 4 4
JOURNAL191 1 4
